pmid,title,abstract,year,journal,layer
41479912,Remodeling the tumor microenvironment: regulatory effects of β-sitosterol and luteolin on the immunosuppressive milieu in endometrial carcinoma and implications for combinatorial immunotherapy.,"Endometrial carcinoma (EC), particularly high-risk molecular subtypes like p53abn and NSMP, is frequently characterized by a tumor immunosuppressive tumor microenvironment (TME) that drives progression, metastasis, and resistance to therapy. This immunosuppressive milieu is orchestrated by key cellular components, including M2-polarized tumor-associated macrophages (TAMs), regulatory T cells (Tregs), myeloid-derived suppressor cells (MDSCs), PD-L1-expressing tumor cells, and pro-fibrotic cancer-associated fibroblasts (CAFs), which collectively inhibit effector T cell function and promote immune exclusion/desert phenotypes. Natural products offer promising multi-targeted strategies to remodel the TME. This review comprehensively summarizes the potent immunomodulatory effects of the phytosterol β-sitosterol (BSS) and the flavonoid luteolin (Lut) specifically within the EC TME. We detail how BSS and Lut synergistically reprogram TAMs towards an M1 phenotype, inhibit Treg differentiation/function and MDSC expansion, enhance CD8",2025,Frontiers in immunology,L1_scientific_engagement
41479894,Efficacy and safety of the neoadjuvant chemoimmunotherapy with pembrolizumab plus docetaxel and cisplatin in resectable locally advanced squamous cell carcinoma of the head and neck.,"Head and neck squamous cell carcinoma (HNSCC) is the most common type of tumor originating from the squamous epithelium of the oral cavity, oropharynx, larynx and hypopharynx. There is an urgent need to enhance therapeutic efficacy and ensure the function preservation of HNSCC treatment. This study aimed to evaluate the efficacy and safety of neoadjuvant chemoimmunotherapy with pembrolizumab plus docetaxel and cisplatin in patients with resectable locally advanced HNSCC. This was a prospective single-center, single-arm, open-label, phase II study involving patients with locally advanced HNSCC who were treated with pembrolizumab (200 mg) plus docetaxel (50 mg/m Overall, 52 patients with HNSCC were enrolled (45 males/7 females), with a median age of 61 years. The ORR rate was 87.8% (95% confidence interval [CI]: 75.2-95.4). Of the 27 patients who underwent resection, 12 (44.4%, 95% CI: 25.5-64.7) achieved a pCR and 15 (55.6%, 95% CI: 35.3-74.5) achieved an MPR. For the overall population, the PFS rates were 89.8% (95% CI: 77.2-95.6), 87.5% (95% CI: 74.2-94.2), and 72.7% (95% CI: 50.6-86.1), and the OS rates were 95.9% (95% CI: 84.7-99.0), 93.6% (95% CI: 81.5-97.9) and 84.9% (65.0-93.9), at 6 months, 12-months and 18 months, respectively. The most common adverse events were nausea/vomiting (12.2%), fatigue (10.2%), rash (8.2%), neurotoxicity (8.2%) and aminotransferases elevation (8.2%). Grades 3 and 4 adverse events occurred in 12 (24.5%) and 2 (4.1%) patients, respectively. Pembrolizumab plus docetaxel and cisplatin reveals encouraging survival benefit with a manageable safety profile in patients with HNSCC.",2025,Frontiers in immunology,L1_scientific_engagement
41479893,Microbiota and antibiotic exposure in sarcoidosis.,"Sarcoidosis is a multisystem granulomatous disorder characterized by excessive immune activation in genetically predisposed individuals. Despite decades of investigation, its etiology remains unresolved. Emerging evidence indicates that disruptions in host-microbiota homeostasis may contribute to immune dysregulation and disease persistence, challenging the traditional view of sarcoidosis as a purely immune-mediated condition. Recent findings have revealed alterations in both respiratory and intestinal microbiota among patients with sarcoidosis, suggesting that microbial dysbiosis may influence T-cell polarization and granulomatous inflammation. Antibiotic exposure, particularly to macrolides and tetracyclines, represents a largely overlooked modifier that may alter this equilibrium through combined microbiota-dependent and immunomodulatory mechanisms. Given the frequent use of antibiotics in these patients for respiratory infections or off-label anti-inflammatory purposes, understanding their effect on microbial diversity, immune signaling, and disease course warrants systematic evaluation. We propose an integrative framework combining microbiota profiling, immune phenotyping, and therapeutic exposure to delineate microbiota-immunity interactions in sarcoidosis. Multi-omics strategies, supported by advanced computational and network-based analyses, could uncover microbe-immune signatures predictive of chronicity or treatment response. Defining how antibiotics shape these interactions may provide a foundation for microbiota-informed, immune-targeted, and ultimately personalized interventions. Deciphering the interplay between microbiota composition, antibiotic exposure, and immune regulation has the potential to reshape our understanding of sarcoidosis pathogenesis and to guide the development of precision-based therapeutic strategies.",2025,Frontiers in immunology,L1_scientific_engagement
41479839,Donor-derived cell-free DNA and its utility in kidney transplantation: A myth or a reality.,"Renal allograft rejection and its detection are challenging problems for transplant clinicians. Transplant physicians rely on serum creatinine, estimated glomerular filtration rate, proteinuria, donor-specific antibodies, and graft biopsy to detect rejection. The sensitivity and specificity in these blood and urine tests are low, and the invasiveness of graft biopsy has led transplant clinicians to seek alternative diagnostic tools. Cell-free DNA (cfDNA) is a fragment of DNA released from cell death due to necrosis and apoptosis. Donor-derived cfDNA (dd-cfDNA) has been proposed as a potential non-invasive biomarker for detecting rejection. However, one must interpret it cautiously in conditions such as ischemia-reperfusion injury, delayed graft function, BK virus nephropathy, post-kidney biopsy, and dual kidney transplantation, which may cause dd-cfDNA elevation. There is a lack of standardized cutoff values for diagnosing various types of rejections. Low specificity, higher cost, and lack of universal availability are the multiple obstacles to using this tool. There is a need to establish clinical guidelines for its future utility in early rejection detection, graft surveillance, and tailoring of immunosuppression.",2025,World journal of nephrology,L1_scientific_engagement
41479805,Multifocal transcranial electrical stimulation to enhance cognitive functions: a systematic review.,"Multifocal transcranial Electrical Stimulation (tES) has emerged as an innovative approach for modulating cognitive functions by concurrently targeting multiple brain regions. Despite its potential, the efficacy and underlying mechanisms of this technique remain unclear. To evaluate the efficacy of multifocal tES in enhancing cognitive function by examining targeted brain regions, stimulation protocols, and behavioral and neurophysiological outcomes. A systematic search of PubMed, EMBASE, Cochrane Library, Scopus, and Web of Science databases was conducted up to February 10, 2025, following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses 2020 guidelines. The inclusion criteria encompassed human studies utilizing concurrent dual-site or multifocal tES with pre- and post-intervention behavioral assessments. Studies on deep brain stimulation, corticocortical paired associative stimulation, sequential stimulation, case reports, and reviews were excluded. Of the 1,453 initial records, 14 met the inclusion criteria. The studies predominantly employed transcranial direct current stimulation/transcranial alternating current stimulation, targeting the frontoparietal network. Neurophysiological data from electroencephalography and functional magnetic resonance imaging revealed network-level modulations. Behavioral outcomes were inconsistent, with some studies reporting improvements in executive function, working memory, and response inhibition, whereas others showed no significant advantages over sham stimulation. Although multifocal tES is a promising modality, clearly determining its efficacy is currently limited by heterogeneous study designs, small sample sizes, and conflicting findings. Future research should prioritize multi-arm trials, incorporate neurophysiological biomarkers, and develop personalized stimulation protocols to optimize the effectiveness of this technique. PROSPERO Registration # CRD420250646196.",2025,Frontiers in neuroscience,L1_scientific_engagement
41479787,"Microfluidics and molecular diagnostics in renal cell carcinoma: advances, challenges, and future directions.","RCC represents the predominant form of kidney cancer, with rising global incidence and notable mortality despite advancements in diagnosis and treatment. Traditional imaging and histopathological techniques, while foundational, face limitations in early detection, subtype differentiation, and treatment personalization. This review comprehensively explores RCC's clinical and pathological landscape, then transitions to focus on recent innovations in microfluidics and molecular diagnostics that are reshaping kidney cancer management. Microfluidic platforms facilitate efficient, minimally invasive analysis of biomarkers such as CTCs, ctDNA, and exosomes, enabling real-time disease monitoring and drug response assessment. Biomolecular technologies-including single-cell sequencing, spatial transcriptomics, and next-generation sequencing-offer deeper insights into tumor heterogeneity and therapeutic resistance. The integration of multi-omics data and emerging platforms like kidney cancer-on-a-chip highlight the promise of precision medicine. Challenges in clinical translation, including assay standardization and regulatory hurdles, are also addressed. Together, these developments underscore a paradigm shift toward individualized, biomarker-driven care in RCC.",2025,Frontiers in oncology,L1_scientific_engagement
41479777,Overcoming the sorafenib resistance mechanism in FLT3-mutated acute myeloid leukemia: molecular basis and new targets.,"Acute myeloid leukemia (AML) originates from myeloid hematopoietic stem cells. Approximately 30% of patients exhibit FMS-like tyrosine kinase 3 (FLT3) mutations clinically, which is associated with a poor prognosis. FLT3 tyrosine kinase inhibitors (FLT3-TKIs), including sorafenib, demonstrate efficacy in FLT3-mutated AML, but resistance remains a significant challenge. However, various mechanisms have led to the rapid development of resistance to sorafenib treatment, including both primary and secondary drug resistance. Primary resistance refers to sorafenib's initial treatment failure due to redundant signaling pathways and tumor heterogeneity, while secondary resistance develops after prolonged therapy through new genetic mutations or activation of alternative pathways. This study systematically examines mechanisms of sorafenib resistance in AML, including tumor genetic changes and the bone marrow microenvironment. It outlines classic mechanisms, such as FLT3 functions, kinase mutations, and cellular signaling pathways, while also addressing gaps in knowledge regarding resistance driven by metabolic factors and the bone marrow environment. Furthermore, the paper explores novel FLT3 inhibitors and combination therapies, while outlining future directions for precision intervention through dynamic monitoring of clonal evolution. This review provides a comprehensive framework for understanding and addressing sorafenib resistance, offering insights into future therapeutic strategies for FLT3-mutated AML.",2025,Frontiers in oncology,L1_scientific_engagement
41479756,Regional multi-center randomized trial of three vonoprazan-amoxicillin dosing regimens for ,"To evaluate the efficacy, safety, and optimal dosing of vonoprazan (VPZ)-amoxicillin (AMO) dual therapy in a non-inferiority randomized trial for In this multi-center, randomized trial conducted at 17 hospitals in Sichuan Province, China, 1717 adults with confirmed infection were assigned (1:1:1) to 14-day regimens: (1) VPZ 20 mg BID + AMO 0.5 g QID; (2) 0.75 g QID; or (3) 1.0 g TID. The primary endpoint was the eradication rate based on intention-to-treat (ITT) and per-protocol (PP) analyses; secondary endpoints included adverse events (AEs) and treatment compliance. Eradication rates were consistently high (92.35%-97.43%). In the 0.5 g QID group, ITT and PP eradication rates were 93.3% (95%CI: 91.2-95.1) and 97.4% (95%CI: 95.7-98.5), respectively, with no significant differences among groups ( VPZ-AMO dual therapy achieved excellent eradication, safety, and patient compliance. All regimens were similarly effective, whereas the 0.5 g QID dosing strategy offered the most favorable balance of efficacy and tolerability, supporting its use as a first-line option in high-prevalence settings.",2025,World journal of gastroenterology,L1_scientific_engagement
41479659,Effects of probiotics on heart failure: a systematic review and meta-analysis.,"Heart failure (HF) is a serious clinical syndrome with substantial health threats. Emerging studies link intestinal flora dysbiosis to HF onset and progression. Although probiotics are thought to regulate gut microbiota, the specific impact of probiotics on HF remains unclear, highlighting the need for systematic evaluation. As of 9 September 2025, we searched eight major academic databases using a predefined protocol for data extraction and quality assessment. Subsequently, a meta-analysis was conducted using Review Manager 5.4 and Stata 18. Forest plots were used to analyse the effect size, and publication bias was evaluated through funnel plots. Ultimately, 11 of the studies met the inclusion criteria for the systematic review. The results showed that probiotics have a slight beneficial effect on cardiac function indicators (LVEF, LVESV), reduced the levels of inflammatory factors (hs-CRP, IL-6, TNF- Probiotics exert cardioprotective effects and can serve as adjunctive therapy for HF management. Future high-quality, large-sample clinical studies are needed to further clarify their long-term efficacy and optimal intervention strategies. Details of the protocol for this systematic review were registered on PROSPERO (CRD420251083960).",2025,Frontiers in nutrition,L1_scientific_engagement
41479639,"Artificial intelligence in hepatopathy diagnosis and treatment: Big data analytics, deep learning, and clinical prediction models.","Artificial intelligence (AI) is rapidly transforming the landscape of hepatology by enabling automated data interpretation, early disease detection, and individualized treatment strategies. Chronic liver diseases, including non-alcoholic fatty liver disease, cirrhosis, and hepatocellular carcinoma, often progress silently and pose diagnostic challenges due to reliance on invasive biopsies and operator-dependent imaging. This review explores the integration of AI across key domains such as big data analytics, deep learning-based image analysis, histopathological interpretation, biomarker discovery, and clinical prediction modeling. AI algorithms have demonstrated high accuracy in liver fibrosis staging, hepatocellular carcinoma detection, and non-alcoholic fatty liver disease risk stratification, while also enhancing survival prediction and treatment response assessment. For instance, convolutional neural networks trained on portal venous-phase computed tomography have achieved area under the curves up to 0.92 for significant fibrosis (F2-F4) and 0.89 for advanced fibrosis, with magnetic resonance imaging-based models reporting comparable performance. Advanced methodologies such as federated learning preserve patient privacy during cross-center model training, and explainable AI techniques promote transparency and clinician trust. Despite these advancements, clinical adoption remains limited by challenges including data heterogeneity, algorithmic bias, regulatory uncertainty, and lack of real-time integration into electronic health records. Looking forward, the convergence of multi-omics, imaging, and clinical data through interpretable and validated AI frameworks holds great promise for precision liver care. Continued efforts in model standardization, ethical oversight, and clinician-centered deployment will be essential to realize the full potential of AI in hepatopathy diagnosis and treatment.",2025,World journal of gastroenterology,L1_scientific_engagement
41479596,Xenin-Derived Peptides: Multifaceted Regulators and Therapeutic Innovations in Metabolic Diseases.,"Xenin, a 25-amino acid peptide hormone predominantly secreted by intestinal K cells, demonstrates evolutionary conservation with neuropeptides such as xenopsin and neurotensin. Functionally, it engages neurotensin receptor 1 (NTSR1) to regulate appetite via hypothalamic signaling pathways and modulates glucose homeostasis through synergistic interactions with incretin hormones. Preclinical studies highlight its dual role in suppressing appetite and enhancing pancreatic β-cell survival, while a single pilot human study suggests xenin-25 may delay gastric emptying and attenuate postprandial glucose excursions; however, these data await independent confirmation. Native xenin, however, is constrained by rapid proteolytic degradation and limited bioavailability. Advances in peptide engineering, including C-terminal truncation, site-directed amino acid substitution, and lipidation, have generated analogues that exhibit prolonged metabolic activity in rodent models, with plasma half-life extended from minutes to hours. In murine models of metabolic dysfunction, these derivatives enhance insulin secretion, improve glycaemic profiles and restore incretin responsiveness. Furthermore, multi-agonist peptides combining xenin with other gastrointestinal hormones show synergistic potential in preclinical studies, concurrently augmenting insulin secretion and reducing energy intake, though their clinical relevance remains to be validated in human trials. Despite promising preclinical outcomes, challenges persist in translating xenin-based therapies to clinical practice, including incomplete mechanistic insights into receptor cross-talk and species-specific variations in gastrointestinal responses. This review uniquely integrates the preclinical landscape of xenin biology, peptide-engineering principles, and emerging multi-agonist design, identifying knowledge gaps critical for future translation. We conclude that xenin-based therapeutics are a promising yet early-stage strategy whose efficacy and safety in human metabolic diseases remain to be established through rigorous pharmacokinetic profiling and phased clinical trials.",2025,"Drug design, development and therapy",L1_scientific_engagement
41479594,Discovery of Pyrazoline Benzenesulfonamide Derivatives as Anticancer Agents: A Review.,"Pyrazoline benzenesulfonamide derivatives represent a distinctive class of heterocyclic compounds that synergistically combine the pharmacological versatility of the pyrazoline scaffold with the enzyme-inhibitory prowess of benzenesulfonamide moieties. These hybrids have emerged as promising candidates in anticancer drug discovery. This review systematically examines various synthetic strategies employed to prepare these derivatives, including classical Claisen-Schmidt condensation as well as modern ultrasound- and microwave-assisted protocols. These methods facilitate efficient structural diversification, incorporating a wide range of heterocyclic and aromatic substituents such as morpholine, pyrazole, benzodioxole, tetrazole, and ferrocene. Biological evaluations, integrating both in vitro cytotoxicity assays and in silico molecular docking studies, were analyzed to elucidate the anticancer potential and mechanistic insights of these compounds, particularly their selective inhibition of tumor-associated enzymes such as matrix metalloproteinases (MMP-2, MMP-9), carbonic anhydrase isoforms (hCA IX, hCA XII), and cyclooxygenase-2 (COX-2). The results reveal that several derivatives exhibit potent antiproliferative activity across multiple cancer cell lines, including lung (A549), breast (MCF-7), cervical (HeLa), colon (COLO 205), and oral squamous carcinoma, demonstrating significant tumor selectivity and low toxicity toward normal cells. Structure-activity relationship analyses further underscore the critical influence of electronic substituents and their positioning on aromatic rings in modulating both efficacy and selectivity. These findings highlight the therapeutic potential of pyrazoline benzenesulfonamide derivatives and support the continued optimization of synthetic strategies and mechanistic studies to facilitate their development as effective anticancer agents capable of overcoming clinical challenges such as drug resistance and adverse side effects.",2025,"Drug design, development and therapy",L1_scientific_engagement
41479559,Nanocomposites to Overcoming Sorafenib Resistance in Hepatocellular Carcinoma Therapy.,"The emergence of drug resistance is the major obstacle to the clinical application of sorafenib (SOR), which often leads to disease progression, recurrence, and even death in hepatocellular carcinoma (HCC) patients. Nanocomposite-mediated drug delivery enhances targeting precision and therapeutic utilization efficiency. Nanocomposites constructed by nanoparticles (NPs) and various therapeutic components have emerged as effective approaches to enhance HCC therapeutic efficacy. Designing based on the mechanisms underlying SOR resistance, specially engineered nanocomposites can be designed to overcome SOR resistance. This review aims to highlight the advantages of nanocomposites in overcoming HCC SOR resistance. First, the various SOR resistance mechanisms that have been identified so far are briefly outlined. Second, the construction methods and characteristics of nanocomposites designed to overcome SOR resistance are summarized and categorized according to different types of NPs. Subsequently, the roles and therapeutic effects of nanocomposites in SOR-resistant HCC are analyzed, primarily including remodeling the tumor microenvironment (TME), restoring normal epigenetic regulation, improving drug metabolism, and inhibiting abnormally activated signaling molecules and pathways. Finally, the advantages and disadvantages of nanocomposites used to reverse drug resistance are discussed, and their development direction in future research is prospected, which provide new approaches for developing advanced nanocomposites to overcome SOR resistance.",2025,International journal of nanomedicine,L1_scientific_engagement
41479558,Targeted-Immunomodulatory Nanomedicines for the Treatment of Autoimmune Diseases via Multiple Administration Routes.,"The incidence and prevalence of autoimmune diseases are rising globally, presenting a significant health challenge. Current treatments focus on symptom management and immunosuppression, often resulting in side-effects such as increased infection risk and broad immunosuppression. Targeted immune modulation strategies, particularly through nanomedicines, offer promising advancements by enabling precise drug delivery and reducing systemic toxicity, risks, and pharmacokinetic issues. Nanocarriers, which are nanoparticles with drugs encapsulated, improve targeting to inflamed areas and lymphoid tissues, protecting therapeutic agents from degradation. Administration routes-intravenous, subcutaneous, intramuscular, and oral-offer distinct benefits for enhancing efficacy in treating autoimmune diseases. In this review, we explore autoimmune diseases and review the limitations of current treatment options. We also emphasize the importance of exploring various administration routes for innovative nanocarrier systems and discuss their effects on modulating immune responses and inducing immune tolerance in autoimmune diseases. In particular, we highlight numerous preclinical studies utilizing intravenous, subcutaneous/intramuscular, and oral nanocarrier formulations that demonstrate substantial improvements in therapeutic efficacy and dose reduction compared to conventional therapies, underscoring the translational potential of nanomedicines for autoimmune diseases. Finally, we discuss future research directions and challenges in the development of nanomedicines for autoimmune diseases.",2025,International journal of nanomedicine,L1_scientific_engagement
41479526,The Application of Erector Spinae Plane Block in Chronic Pain Management: From Anatomical Mechanisms to Clinical Innovations.,"Erector Spinae Plane Block (ESPB) is a fascial plane-based regional analgesia technique that involves injecting local anesthetics between the deep aspect of the erector spinae muscle and the transverse processes of the vertebrae. This blocks the dorsal rami of spinal nerves, thereby achieving multi-segmental analgesia. With the widespread adoption of ultrasound guidance, ESPB has gained extensive application in acute and chronic pain management due to its relative simplicity and high safety profile. However, its systematic evaluation and value positioning in chronic pain management remain to be clarified. This article aims to provide a comprehensive overview of ESPB, spanning from its anatomical basis to clinical innovations. It focuses on reviewing its mechanisms of action, clinical efficacy, technical advantages, and limitations in managing chronic pain (including cancer-related pain and neuropathic pain). Future research directions are also discussed to inform clinical practice and related studies.",2025,Journal of pain research,L1_scientific_engagement
41479524,"Phase III, multicenter, randomized, double-blind, placebo-controlled study of norursodeoxycholic acid in metabolic dysfunction-associated steatotic liver disease patients.","The norursodeoxycholic acid (norUDCA), a side chain-shortened derivative of ursodeoxycholic acid, exhibits unique pharmacological properties that may benefit patients with metabolic dysfunction-associated steatotic liver disease (MASLD). To evaluate the efficacy, safety, and tolerability of norUDCA 1500 mg compared to placebo in the patients with MASLD. This phase III, randomized, double-blind, multi-centric, placebo-controlled trial enrolled patients with MASLD, and were randomized in 2:1 ratio to receive either norUDCA 1500 mg or placebo for 24 weeks. Efficacy and safety were rigorously evaluated through clinical, biochemical, and imaging assessments. Primary endpoints assessed alanine aminotransferase (ALT) normalization and improvement in liver stiffness (FibroScan Of 165 randomized patients, 110 received norUDCA and 55 placebos. At week 12, ALT normalization was achieved in 89% of norUDCA-treated group compared to 76% of placebo-treated group ( NorUDCA 1500 mg demonstrated clinically meaningful therapeutic efficacy in patients with MASLD, accompanied by consistently favorable safety profile.",2025,World journal of hepatology,L1_scientific_engagement
41479510,Clinical study on the efficacy of laparoscopic hepatectomy ,"Laparoscopic hepatectomy has been widely accepted for the treatment of liver tumors. Compared with open surgery, it provides a reduced hospital stay, less intraoperative blood loss, less trauma, and fewer incisional infections, without affecting tumor outcomes. However, lesions in the right lobe of the liver are deep and obstructed by the ribs, making exposure difficult and increasing the degree of surgical difficulty; thus, liver tumors in the deep right lobe pose technical challenges in standard laparoscopic surgery. To investigate the safety and efficacy of laparoscopic retroperitoneal partial hepatectomy for liver tumors. The clinical data of 72 patients who underwent laparoscopic retroperitoneal partial hepatectomy for liver tumors between January 2018 and December 2024 at the First People's Hospital of Yunnan Province were analyzed. Of the 72 patients included, 34 were male and 38 were female, with ages ranging from 34 years to 72 years (median age, 45 years). The tumors were all located in the right lobe of the liver, with 30 cases in segment S6, 27 cases in segment S7, and 15 cases in segment S8; the mean tumor diameter was 7.5 ± 3.4 cm. The postoperative tumor indices, liver function, and postoperative complications were analyzed to evaluate the clinical efficacy of laparoscopic partial hepatectomy The surgeries were successfully completed in all patients, and conversion to open surgery was required in 10 patients. The mean operative time, blood loss, drain retention time, and length of postoperative hospital stay were 140 ± 30 minutes, 150 ± 46 mL, 3.8 ± 1.2 days, and 8.3 ± 5.3 days, respectively. Liver function tests returned to normal in all patients within two weeks of surgery. Fifteen patients developed atelectasis and pleural effusion and were managed with incision and drainage and antibiotics. Two patients developed uncomplicated minimal ascites, and the remaining patients had no perioperative complications, such as abdominal hemorrhage, infection, liver failure, bile leakage, and other adverse events. All patients were successfully treated. Laparoscopic retroperitoneal partial hepatectomy is a safe and effective approach for right hepatic space-occupying lesions, particularly in segments S6, S7, and S8, with fewer postoperative complications, less trauma, and faster recovery times. This procedure provides a new surgical access for resection of deep tumors in the right lobe of the liver and has clear clinical implications.",2025,World journal of hepatology,L1_scientific_engagement
41479494,Efficacy and Pulmonary Outcomes of Dual Immunotherapy Plus Chemotherapy Versus Standard Chemotherapy in Advanced Non-small Cell Lung Cancer.,"Advanced non-small cell lung cancer (NSCLC) presents significant therapeutic challenges, with limited long-term survival using conventional chemotherapy. This review aims to evaluate the efficacy and pulmonary safety of dual immunotherapy (nivolumab, ipilimumab, tremelimumab, and durvalumab) plus chemotherapy compared with standard chemotherapy in advanced NSCLC. This Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA)-based systematic review searched PubMed, Cochrane Library, and ScienceDirect (from inception till June 2025) using MeSH/free-text terms for ""NSCLC,"" ""dual immunotherapy,"" ""checkpoint inhibitor,"" ""chemotherapy,"" and ""pulmonary outcomes."" Two reviewers screened studies, extracted data, and assessed risk of bias with Cochrane RoB 2.0. Phase II/III randomized controlled trials (RCTs) comparing dual immunotherapy plus chemotherapy versus chemotherapy were narratively synthesized for survival and lung-related outcomes due to endpoint heterogeneity. Nine studies, including 7,271 participants with advanced or metastatic NSCLC, were analyzed. Dual immunotherapy plus chemotherapy consistently improved outcomes compared with chemotherapy alone. Median overall survival (OS) increased to approximately 15.8 months versus 11.0 months, with hazard ratios (HRs) ranging from 0.66 to 0.77. Progression-free survival (PFS) and response rates (HRs) were also higher, with pooled PFS HRs of 0.67-0.72 and longer duration of response. Pulmonary safety was acceptable, with immune-related pneumonitis reported in 2%-5% of patients, mostly low-grade and responsive to corticosteroids. Infection rates were comparable between groups, primarily involving mild respiratory infections typical of chemotherapy exposure. Survival benefits were observed across PD-L1 strata, tumor histologies, and high-risk molecular subgroups such as KRAS, STK11, and KEAP1, and in patients with brain metastases. Dual immunotherapy plus chemotherapy provides sustained survival benefit with manageable toxicity. Dual immunotherapy plus chemotherapy significantly improves survival and response in advanced NSCLC with acceptable pulmonary safety, supporting its adoption as a first-line standard of care.",2025,Cureus,L1_scientific_engagement
41478741,An updated systematic review and meta-analysis of Caplacizumab for immune thrombotic thrombocytopenic purpura: Insights into efficacy and safety.,"This review synthesizes the current evidence to assess the efficacy and safety of caplacizumab in the treatment of iTTP, focusing on its impact on TPE requirements, time to platelet normalization, relapse prevention, and treatment-related adverse events. Thirteen studies (11 observational and 2 RCTs), involving 2956 patients with iTTP were included. The majority of included studies were of high methodological quality, indicating a low risk of bias based on the assessment tools. The analysis found that caplacizumab was associated with significant clinical benefits. It marked a reduction in daily TPE sessions (MD = -3.92, p < 0.001) and time to platelet normalization (MD = -2.44, p = 0.03). Caplacizumab also significantly reduced mortality (RR = 0.29, p < 0.001) and iTTP exacerbations (RR = 0.27, p < 0.001), leading to shorter hospital stays (MD = -5.13, p = 0.001). Caplacizumab demonstrated notable clinical benefits in managing iTTP, with significant reductions in daily TPE sessions, time to platelet normalization, mortality, and iTTP exacerbations. Promising results were also noticed for early initiation compared to delayed initiation.",2025,Blood reviews,L1_scientific_engagement
41478740,Avatrombopag in immune thrombocytopenia and beyond: Current evidence and emerging perspectives.,"Immune thrombocytopenia (ITP) is a rare autoimmune disorder characterized by reduced platelet counts, increased bleeding risk, and impaired quality of life. Thrombopoietin receptor agonists are established second-line therapies; among these, avatrombopag is an oral agent supported by its phase 3 clinical evidence base. In adults with ITP, avatrombopag has demonstrated a rapid onset of action, durable platelet response, and favorable safety profile. A subsequent trial in pediatric populations confirmed the efficacy and safety of avatrombopag was consistent with the adult data. Real-world studies further reinforce these findings, supporting avatrombopag's profile in routine clinical practice. Beyond ITP, emerging evidence suggests potential roles for avatrombopag in other thrombocytopenic settings, including chemotherapy-induced thrombocytopenia, aplastic anemia, and post-hematopoietic stem-cell transplantation, where early data appear promising.",2025,Blood reviews,L1_scientific_engagement
41478673,Emerging therapies targeting lipoprotein(a): Pharmacologic advances and future directions.,"Despite advances in therapies that target low-density lipoprotein (LDL), atherosclerotic cardiovascular disease (ASCVD) remains a major cause of morbidity and mortality. This has led to the investigation of other biomarkers, including lipoprotein(a) [Lp(a)]. Lp(a) is a variant of LDL that is genetically determined, has proatherogenic, proinflammatory, and prothrombotic effects, and has a linear correlation with ASCVD risk. Approximately 20%-30% of the global population has elevated serum Lp(a). Recommendations for increased Lp(a) testing has heightened the need for effective medications to target this biomarker. Although traditional antilipemic agents have demonstrated negligible effects on Lp(a), multiple targeted therapies are emerging, including antisense oligonucleotides, small interfering RNA agents, and small molecules. The efficacy of these novel agents observed in early clinical trials and the development of alternate treatment modalities, including gene editing and RNA-based innovations, signal a promising new era of ASCVD prevention via non-LDL pathways. SIGNIFICANCE STATEMENT: Lipoprotein(a) is a genetically determined biomarker that significantly impacts atherosclerotic risk. The development of novel therapies that lower lipoprotein(a) warrants a broad understanding to increase comfortability and optimize utilization upon market approval.",2025,The Journal of pharmacology and experimental therapeutics,L1_scientific_engagement
41478666,Emerging pharmacology of targeted protein degraders.,"Targeted protein degradation is an emerging strategy for experimental and therapeutic ablation of biologically important proteins. To elicit the degradation of their cellular targets, targeted protein degraders act by co-opting the endogenous cellular degradation machineries through chemically-induced proximity. While targeted protein degradation was serendipitously discovered as the mode of action of approved anticancer drugs including fulvestrant and thalidomide, recent years have witnessed systematic endeavors for the rational design of targeted protein degraders for diverse biological targets. Such endeavors have led to 3 major classes of targeted protein degraders including molecular glue degraders, proteolysis targeting chimeras, and hydrophobic tag-based degraders. Of these, several agents are clinically approved or currently evaluated in clinical trials for use in diseases such as cancer, neurodegenerative disorders, autoimmune and dermatologic conditions. The novel chemical and pharmacologic nature of targeted protein degraders heralds an emerging paradigm of pharmacology, known as event-driven pharmacology, which is different in many aspects from the occupancy-based pharmacology of conventional small-molecule inhibitors. In this review, we discuss the emerging pharmacology of different classes of targeted protein degraders including the molecular basis of their drug action and key pharmacologic properties pertinent to efficacy, selectivity, safety, and dosing considerations. SIGNIFICANCE STATEMENT: Targeted protein degradation is a novel strategy that establishes induced-proximity pharmacology as a promising next-generation therapeutic modality. This review provides insights into the common organizing principles of this emerging approach and the prospects for this rapidly evolving field.",2025,The Journal of pharmacology and experimental therapeutics,L1_scientific_engagement
